account_id,total_amount,total_balance,transaction_count,Trans Withdrawal_x,Trans_Credit,Trans_Debit,Collection From Other Bank,Credit Card Withdrawal,Credit in Cash,Interest,Remittance From Other Bank,Trans Withdrawal_y,Household Payment,Insurance Payment,Interest Credit,Loan Payment,Old age Pension Payment,Payment of Statement,Sanction Negative Bal.,Standard Payment
30,4561803.2,15946804.0,281,20,130,131,0,0,86,44,0,151,0,0,44,0,0,43,0,194
31,5807677.5,22001624.6,383,28,164,191,0,0,109,55,53,166,53,0,55,0,0,54,0,221
32,1378941.7,10018244.9,180,0,82,98,0,0,42,40,0,98,0,0,40,0,0,35,0,105
33,3231984.8,24884113.9,344,0,131,213,0,22,67,64,59,132,59,0,64,0,0,59,0,162
34,4342630.5,22076110.1,409,17,127,265,63,1,1,63,117,164,58,0,63,0,0,58,0,171
35,697962.1,7554346.4,379,0,127,252,65,0,1,61,122,130,61,0,61,0,65,60,0,71
36,2793004.2,17443717.1,388,0,134,254,0,0,68,66,62,192,62,0,66,0,0,61,0,199
37,948153.9,4881164.9,130,2,36,92,0,0,19,17,43,51,14,14,17,1,0,13,1,56
38,571949.7,4480089.7,130,5,48,77,17,0,14,17,45,37,12,12,17,8,0,12,0,56
39,813539.5,9942337.6,399,0,124,275,63,0,1,60,118,157,59,0,60,0,63,58,0,100
40,906112.9,8673552.4,366,0,133,233,0,0,71,62,116,117,58,0,62,0,0,57,0,131
41,555118.1,4171374.8,71,0,36,35,0,0,19,17,0,35,0,0,17,0,0,12,0,42
42,594994.0,5758666.3,198,0,63,135,0,0,35,28,70,65,24,23,28,0,0,23,0,77
43,2841686.7,19547989.1,321,0,112,209,0,35,57,55,50,124,50,0,55,0,0,50,0,166
44,549417.4,6043408.8,316,0,131,185,67,0,1,63,63,122,63,0,63,0,67,62,0,61
45,133399.9,1879538.9,69,0,41,28,0,0,25,16,0,28,0,0,16,0,0,11,0,42
47,4933893.4,25503597.1,565,22,133,410,65,0,3,65,242,190,61,60,65,0,0,60,0,198
48,2394439.4,15021612.4,302,0,104,198,0,4,54,50,80,114,40,0,50,0,0,40,0,132
49,183161.8,1450712.8,93,0,43,50,21,0,1,21,16,34,16,0,21,0,21,16,0,19
50,1916904.2,14112388.5,377,0,117,260,0,0,61,56,102,158,51,0,56,0,0,51,0,168
51,1322341.9,11509354.8,192,0,63,129,0,4,32,31,53,72,27,0,31,0,0,26,0,82
52,1264703.4,5721240.3,144,8,48,88,23,0,2,23,38,58,19,0,23,0,0,18,0,65
53,360117.8,3666918.9,197,0,87,110,43,0,1,43,39,71,39,0,43,0,43,38,0,34
54,282774.6,3947615.9,210,0,89,121,44,0,1,44,40,81,40,0,44,0,0,39,0,87
55,298743.1,2523738.7,150,0,65,85,34,0,1,30,29,56,29,0,30,0,34,29,0,28
56,1761908.4,10242652.7,293,0,118,175,0,0,63,55,51,124,51,0,55,0,0,50,0,137
57,1955860.5,11178888.1,255,0,87,168,0,0,44,43,39,129,39,0,43,0,0,38,0,135
58,317481.5,1730147.8,137,0,54,83,28,0,1,25,0,83,22,0,25,0,28,23,2,37
59,1802380.3,17511606.3,385,0,123,262,0,0,66,57,106,156,53,0,57,0,0,52,0,170
61,949138.8,13514088.0,678,0,234,444,120,0,2,112,222,222,112,0,112,0,120,110,0,114
62,698825.5,8402871.5,356,0,135,221,69,0,1,65,65,156,65,0,65,0,69,64,0,93
63,449466.0,6807280.0,258,0,94,164,50,0,2,42,82,82,42,0,42,0,50,40,0,44
64,217929.8,1064735.1,44,0,30,14,0,0,11,19,0,14,0,0,19,0,0,0,0,25
65,1357447.1,9669637.9,181,0,53,128,0,12,27,26,66,50,22,22,26,0,0,21,0,68
66,5879317.1,20484863.0,316,14,123,179,61,5,1,61,0,188,0,0,61,0,0,56,0,199
67,4518164.0,21733248.5,382,20,102,260,50,0,2,50,116,164,46,0,50,24,0,45,0,171
68,3645529.5,27956062.6,424,12,98,314,48,13,2,48,173,140,43,43,48,0,0,43,0,160
69,501135.0,5783749.2,196,0,123,73,0,0,87,36,0,73,0,0,36,0,0,33,0,127
70,1830441.0,18845272.4,490,0,202,288,0,0,110,92,84,204,84,0,92,0,0,82,0,232
71,5391589.0,51214146.0,992,0,236,756,0,44,120,116,426,286,106,108,116,0,0,106,0,344
72,6574689.0,26944830.8,484,26,184,274,0,0,122,62,116,184,58,0,62,0,0,56,0,250
73,2564580.1,17576059.2,366,0,128,238,0,47,66,62,58,133,58,0,62,0,0,57,0,189
75,1085885.5,5323425.2,215,0,82,133,0,0,42,40,36,97,36,0,40,0,0,35,0,104
76,580225.5,4755693.7,163,0,73,90,0,0,42,31,27,63,27,0,31,0,0,26,0,79
77,927946.7,3034863.1,104,4,52,48,25,0,2,25,0,52,0,0,25,0,0,20,0,59
78,2469475.5,13896939.1,388,0,137,251,0,0,71,66,61,190,61,0,66,0,0,61,0,200
79,191741.9,2034597.5,104,0,47,57,25,0,1,21,21,36,21,0,21,0,25,20,0,17
80,487398.2,6851751.8,352,0,150,202,78,0,2,70,68,134,0,0,70,0,0,68,0,214
81,235062.6,5763850.1,217,0,74,143,29,0,16,29,73,70,25,24,29,0,0,24,0,91
82,4840822.3,20538644.7,332,27,144,161,0,0,88,56,0,188,0,0,56,0,0,51,0,225
83,2835916.2,21124575.2,862,0,294,568,0,0,158,136,256,312,128,0,136,0,0,126,0,344
84,2374913.6,9945761.2,211,9,93,109,0,0,57,36,33,85,33,0,36,0,0,33,0,109
85,311173.7,3143333.5,108,0,54,54,0,0,33,21,17,37,17,0,21,0,0,16,0,54
86,889787.6,16585707.6,820,0,282,538,140,0,2,140,262,276,0,0,140,0,0,130,0,550
88,184674.3,2706935.6,140,0,61,79,30,0,1,30,26,53,26,0,30,0,0,25,0,59
89,159211.9,1781966.1,61,0,33,28,0,0,18,15,0,28,0,0,15,0,0,10,0,36
90,2839833.8,14249982.5,457,0,110,347,0,0,56,54,196,151,49,49,54,0,0,49,0,158
91,537083.8,1714746.5,79,2,42,35,0,0,18,24,0,37,6,0,24,0,0,8,4,37
93,488768.1,3775928.2,143,0,66,77,0,0,36,30,0,77,0,0,30,0,0,26,0,87
95,4568019.8,23510786.4,434,0,184,250,0,46,94,90,0,204,0,0,90,0,0,80,0,264
96,13499678.0,100029677.2,1322,72,292,958,140,34,12,140,526,470,132,130,140,0,0,130,0,526
97,2458512.8,21818406.8,548,0,134,414,0,10,70,64,242,162,54,54,64,24,0,54,0,188
98,344800.0,3302029.2,212,0,82,130,40,0,2,40,62,68,32,0,40,0,40,30,0,40
99,2513972.1,12007480.8,248,7,93,148,0,0,52,41,64,91,32,0,41,0,0,34,0,109
100,1691589.5,17086216.1,405,0,145,260,0,0,85,60,112,148,56,0,60,0,0,55,0,178
101,1278555.4,9909594.5,208,0,71,137,0,0,39,32,55,82,28,0,32,0,0,27,0,94
102,1768074.4,9827660.7,319,12,118,189,0,0,60,58,72,129,35,0,58,0,0,38,2,149
103,1714751.3,8933440.3,185,17,84,84,0,0,38,46,11,90,0,0,46,11,0,20,8,100
104,805226.2,15868304.6,770,0,266,504,136,0,2,128,256,248,0,0,128,0,0,126,0,516
105,493759.89999999997,1781835.2,59,1,30,28,0,0,14,16,1,28,0,0,16,1,0,7,0,35
106,1854776.6,12857084.0,282,0,99,183,0,36,50,49,45,102,45,0,49,0,0,44,0,144
107,1057995.2,15705840.9,476,0,152,324,0,0,90,62,173,151,58,58,62,0,0,57,0,184
108,1532824.5,12654814.2,241,0,94,147,0,9,49,45,40,98,40,0,45,0,0,40,0,116
109,203518.1,3849370.2,113,0,70,43,0,2,50,20,0,41,0,0,20,0,0,17,0,76
110,1429397.7,9481343.2,209,0,61,148,0,5,32,29,64,79,24,0,29,16,0,24,0,92
112,1769397.4,17728328.8,712,0,282,430,140,0,2,140,130,300,130,0,140,0,140,130,0,172
113,351151.9,2830008.5,136,0,55,81,29,0,1,25,25,56,25,0,25,0,29,24,0,33
114,155708.9,2126895.6,103,0,39,64,21,0,1,17,33,31,16,0,17,0,21,16,0,16
115,1235574.0,12390093.7,376,0,158,218,0,22,89,69,65,131,65,0,69,0,0,64,0,178
116,3215658.4,12589799.0,356,0,136,220,0,0,70,66,58,162,58,0,66,0,0,56,0,176
117,623402.6,7129959.1,330,0,129,201,64,0,1,64,60,141,60,0,64,0,64,59,0,83
118,134555.8,2020484.9,73,0,37,36,15,0,7,15,10,26,10,0,15,0,0,10,0,38
119,3110253.4,15764902.3,395,0,135,260,0,0,68,67,62,198,62,0,67,0,0,62,0,204
120,2127815.9,11210741.9,245,10,105,130,0,0,62,43,40,100,40,0,43,0,0,39,0,123
121,117127.7,2529037.7,92,0,39,53,15,0,9,15,30,23,10,10,15,0,0,10,0,37
122,1244001.2,6050948.1,110,0,53,57,0,1,27,26,0,56,0,0,26,0,0,21,0,63
123,1308865.2,11789546.4,668,0,270,398,138,0,2,130,130,268,130,0,130,0,138,128,0,142
124,89502.3,1252355.2,70,0,29,41,12,0,5,12,22,19,7,7,12,0,0,7,0,29
125,1902746.4,7226487.8,150,9,66,75,0,0,38,28,0,84,0,0,28,0,0,24,0,98
126,3166473.4,14927360.4,335,15,140,180,0,0,78,62,56,139,56,0,62,0,0,55,0,162
127,387643.0,4318333.1,274,0,119,155,59,0,1,59,55,100,0,0,59,0,0,54,0,161
128,814869.9,17320841.0,399,0,208,191,0,44,138,70,0,147,0,0,70,0,0,67,0,262
129,387750.8,2898479.8,134,0,62,72,30,0,2,30,20,52,20,0,30,0,30,20,0,34
130,275453.8,2704618.7,103,0,42,61,22,0,1,19,17,44,17,0,19,0,22,17,0,28
131,955769.0,5302497.8,212,0,90,122,0,0,47,43,38,84,38,0,43,0,0,38,0,93
132,5071910.2,20830843.6,396,30,158,208,0,4,94,64,24,210,0,0,64,24,0,58,0,250
133,1341992.3,5620845.5,113,5,44,64,0,0,29,15,26,43,13,0,15,0,0,13,0,59
134,235735.5,1742983.5,48,0,27,21,0,1,15,12,0,20,0,0,12,0,0,7,0,29
135,742484.0,13040196.0,326,0,161,165,0,0,95,66,0,165,0,0,66,0,0,61,0,199
136,374618.3,3181276.9,152,0,60,92,31,0,1,28,26,66,26,0,28,0,31,26,0,41
137,1422931.7,6834452.4,181,0,59,122,0,0,30,29,49,73,24,0,29,0,0,24,0,79
138,108000.0,749200.0,48,0,30,18,0,0,30,0,0,18,0,0,0,0,0,0,0,48
139,1334275.6,5743437.1,98,15,39,44,19,0,1,19,0,59,0,0,19,0,0,14,0,65
140,333222.6,2393955.3,66,0,42,24,0,0,14,28,0,24,0,0,28,0,0,2,0,36
141,4380865.6,17803088.6,482,16,138,328,68,0,2,68,178,166,60,58,68,0,0,58,0,178
142,1258244.8,15531589.2,698,0,274,424,140,0,2,132,132,292,132,0,132,0,140,130,0,164
143,227380.9,2044532.9,114,0,47,67,25,0,1,21,21,46,21,0,21,0,25,20,0,27
144,1533259.6,6491158.8,122,11,53,58,0,2,32,21,0,67,0,0,21,0,0,18,1,82
145,658679.1,8908903.1,204,0,94,110,0,0,58,36,32,78,32,0,36,0,0,31,0,105
146,780271.2,7002242.7,305,0,129,176,64,0,1,64,59,117,59,0,64,0,64,59,0,59
148,440791.7,7825089.7,445,0,129,316,66,0,1,62,183,133,0,0,62,0,0,61,0,322
149,122913.9,2250056.0,62,0,44,18,0,0,30,14,0,18,0,0,14,0,0,10,0,38
150,544394.0,9611862.2,244,0,130,114,0,0,84,46,0,114,0,0,46,0,0,42,0,156
151,1445154.8,15047476.6,788,0,294,494,0,0,166,128,240,254,120,0,128,0,0,118,0,302
152,802973.2,7806986.6,392,0,152,240,0,0,88,64,112,128,56,0,64,0,0,54,0,162
153,1887223.2,9327521.5,336,5,129,202,63,0,3,63,59,148,59,0,63,0,0,58,0,156
154,1594109.1,17026351.6,316,0,111,205,0,0,57,54,49,156,49,0,54,0,0,49,0,164
155,464116.9,5250714.6,205,0,95,110,0,0,57,38,33,77,33,0,38,0,0,33,0,101
156,84418.0,767828.2,49,0,25,24,14,0,1,10,9,15,9,0,10,0,0,9,0,21
157,260418.6,2214724.0,93,0,40,53,21,0,1,18,17,36,17,0,18,0,21,16,0,21
158,4810787.6,22694085.0,520,0,182,338,0,0,92,90,82,256,82,0,90,0,0,80,0,268
159,980210.5,5432650.4,112,0,46,66,0,4,24,22,18,44,18,0,22,0,0,17,0,55
160,1847752.5,23455235.5,437,0,152,285,0,0,88,64,119,166,59,0,64,0,0,59,0,195
161,472950.3,6207290.7,304,0,109,195,54,0,1,54,99,96,49,0,54,0,54,49,0,48
162,1310903.6,14974311.6,572,0,250,322,128,0,2,120,120,202,120,0,120,0,128,118,0,86
163,930518.7,11987408.1,434,0,141,293,71,0,1,69,134,159,67,0,69,0,71,66,0,94
164,281452.5,1356019.5,51,0,32,19,0,0,11,21,0,19,0,0,21,0,0,0,0,30
165,1756535.0,24287116.2,744,0,270,474,134,0,2,134,124,350,124,0,134,0,134,124,0,228
166,240345.2,2905875.6,119,0,53,66,28,0,1,24,24,42,24,0,24,0,28,23,0,20
167,2755587.3,11586715.7,177,17,83,77,0,2,59,24,0,92,0,0,24,0,0,20,0,133
168,809770.8,11389837.2,658,0,266,392,136,0,2,128,128,264,0,0,128,0,0,126,0,404
169,1054678.1,10949087.0,210,0,82,128,0,0,43,39,34,94,34,0,39,0,0,34,0,103
170,1081240.2,6987290.5,144,0,62,82,0,0,32,30,0,82,0,0,30,0,0,25,0,89
171,362097.3,3030741.9,153,0,63,90,31,0,1,31,27,63,27,0,31,0,31,26,0,38
172,6166155.6,34501496.6,756,0,262,494,0,2,134,128,120,372,120,0,128,0,0,118,0,390
173,5162897.4,42824323.0,1144,0,312,832,0,0,190,122,480,352,114,114,122,24,0,112,0,430
174,173367.8,1851091.2,121,0,57,64,28,0,1,28,23,41,0,0,28,0,0,23,0,70
176,2890719.2,13496168.6,274,9,82,183,0,0,53,29,90,102,26,26,29,12,0,26,0,129
177,588663.2,2683394.5,59,0,32,27,0,0,17,15,0,27,0,0,15,0,0,10,0,34
178,80837.2,1013173.0,76,0,33,43,16,0,1,16,22,21,11,0,16,0,0,11,0,27
179,1242390.3,6330808.0,119,5,38,76,0,0,24,14,45,36,11,12,14,0,0,11,0,49
180,3209816.5,16470437.4,331,43,133,155,60,3,13,60,0,195,0,0,60,0,0,55,3,213
181,709781.7,5960504.1,169,0,65,104,0,17,35,30,26,61,26,0,30,0,0,25,0,88
182,29400.0,107700.0,9,0,6,3,0,0,6,0,0,3,0,0,0,0,0,0,0,9
183,1895868.6,13484644.0,380,0,125,255,0,0,65,60,112,143,56,0,60,0,0,55,0,153
184,1406497.2,7534250.0,163,0,70,93,0,0,36,34,0,93,0,0,34,0,0,29,0,100
185,694316.5,5103628.2,96,0,37,59,0,2,19,18,14,43,14,0,18,0,0,13,0,51
186,5133105.8,27473472.8,413,32,172,209,0,0,107,65,59,182,59,0,65,0,0,59,0,230
187,564101.1,5677036.4,322,0,135,187,69,0,1,65,64,123,64,0,65,0,69,64,0,60
188,2817165.5,22734689.0,403,0,139,264,0,0,71,68,63,201,63,0,68,0,0,63,0,209
189,862955.4,6345407.4,141,0,42,99,0,0,22,20,48,51,16,16,20,0,0,15,0,58
190,1726292.1,12695599.2,385,0,97,288,0,0,51,46,164,124,41,41,46,0,0,41,0,134
191,1951553.0,6409698.7,106,13,43,50,21,0,1,21,0,63,0,0,21,0,0,16,0,69
192,816555.7,9086457.6,349,0,139,210,71,0,1,67,67,143,67,0,67,0,71,66,0,78
193,1112637.2,5998258.6,246,0,104,142,0,0,56,48,40,102,40,0,48,0,0,38,0,120
194,289132.8,4423599.1,164,0,72,92,29,0,14,29,25,67,25,0,29,0,0,24,0,86
195,1333123.0,8862783.0,228,0,92,136,0,8,48,44,34,94,34,0,44,0,0,34,0,116
196,1761790.3,24999019.8,504,0,137,367,0,32,76,61,226,109,57,56,61,0,0,56,0,161
197,3280579.2,15708291.9,374,0,144,230,0,0,74,70,66,164,66,0,70,0,0,65,0,173
198,522853.3,6981580.2,329,0,121,208,62,0,1,58,114,94,57,0,58,0,62,57,0,38
199,133198.8,2206556.9,105,0,49,56,26,0,1,22,22,34,0,0,22,0,0,21,0,62
200,1042536.6,16555092.5,243,0,114,129,0,20,60,54,0,109,0,0,54,0,0,49,0,140
201,1715237.6,10113256.6,289,0,104,185,0,0,54,50,46,139,46,0,50,0,0,45,0,148
204,185364.2,2727379.5,159,0,67,92,35,0,1,31,31,61,31,0,31,0,0,30,0,67
205,222059.1,2542226.7,71,0,37,34,0,0,22,15,10,24,10,0,15,0,0,10,0,36
206,1112192.4,13684641.4,512,0,238,274,0,0,148,90,80,194,80,0,90,0,0,80,0,262
207,819144.5,10800482.1,481,0,155,326,0,0,90,65,181,145,60,60,65,0,0,60,0,175
208,1083135.9,9339116.6,274,0,71,203,0,0,38,33,115,88,29,29,33,0,0,28,0,98
209,217270.6,4154659.8,175,0,65,110,25,0,15,25,61,49,21,20,25,0,0,20,0,69
210,1197479.7,5519579.3,186,0,69,117,0,0,36,33,28,89,28,0,33,0,0,28,0,97
211,1415758.6,6534993.1,86,2,46,38,0,0,30,16,0,40,0,0,16,0,0,11,0,59
212,7619102.4,25196406.0,432,40,146,246,71,3,4,71,66,217,66,0,71,0,0,66,0,229
213,2092213.8,12144619.0,235,0,81,154,0,13,41,40,36,105,36,0,40,0,0,35,0,124
214,239916.4,2425838.4,180,0,78,102,42,0,2,34,34,68,0,0,34,0,0,32,0,114
215,141430.8,1337125.8,92,0,46,46,26,0,2,18,18,28,18,0,18,0,0,16,0,40
216,702212.7,8808793.9,343,0,108,235,55,0,1,52,101,134,50,0,52,0,55,50,0,85
217,1127268.1,6309371.8,245,0,97,148,0,0,50,47,42,106,42,0,47,0,0,42,0,114
218,3620095.8,11375126.4,224,19,104,101,0,0,70,34,0,120,0,0,34,0,0,30,3,157
219,1488080.0,13779331.3,255,0,80,175,0,1,41,39,70,104,35,0,39,0,0,34,0,112
220,699300.5,6667579.5,334,0,133,201,68,0,1,64,64,137,64,0,64,0,68,63,0,75
221,1176751.3,5953597.3,139,0,54,85,0,0,28,26,22,63,22,0,26,0,0,21,0,70
222,5135581.3,19628138.5,357,32,140,185,69,2,2,69,0,215,0,0,69,0,0,64,0,224
223,628534.7,4706901.6,126,0,64,62,0,21,23,41,0,41,0,0,41,0,0,19,0,66
224,286519.6,2272496.3,122,0,50,72,26,0,1,23,22,50,22,0,23,0,26,21,0,30
225,2068113.2,32637713.6,878,0,358,520,0,0,228,130,242,278,120,0,130,0,0,120,0,386
226,933119.9,6411170.2,129,0,55,74,0,6,33,22,24,44,18,0,22,6,0,17,0,66
227,4315032.8,12361375.3,257,10,91,156,45,0,1,45,40,126,40,0,45,0,0,40,0,132
228,2917856.9,16768516.4,406,0,129,277,0,0,66,63,117,160,58,0,63,0,0,58,0,168
229,189471.3,1858771.3,89,0,39,50,19,0,1,19,15,35,15,0,19,0,19,14,0,22
230,2597799.8,18618710.8,502,0,140,362,0,0,72,68,180,182,60,60,68,0,0,58,0,196
231,540479.6,7522212.8,454,0,182,272,90,0,2,90,82,190,82,0,90,0,0,80,0,202
232,579514.5,3081082.2,61,0,28,33,0,2,15,13,8,23,8,0,13,0,0,8,0,32
234,1498527.0,10854579.0,640,0,254,386,130,0,2,122,120,266,120,0,122,0,130,120,0,148
235,414574.5,7644974.1,368,0,127,241,63,0,1,63,118,123,0,0,63,0,0,58,0,247
236,132800.0,865800.0,52,0,22,30,0,0,22,0,0,30,0,0,0,0,0,0,0,52
237,325266.9,4402503.9,314,0,111,203,57,0,1,53,104,99,52,0,53,0,0,52,0,105
238,419503.0,5261983.5,315,0,125,190,64,0,1,60,59,131,0,0,60,0,0,59,0,196
239,5026138.8,32313858.1,569,38,184,347,0,0,114,70,194,191,65,64,70,0,0,64,0,241
240,1966525.6,7480475.4,208,0,84,124,0,0,44,40,32,92,32,0,40,0,0,30,0,106
241,255559.4,5250584.7,190,0,69,121,27,0,15,27,68,53,22,23,27,0,0,22,0,73
242,1382490.1,6175278.2,178,0,58,120,0,0,30,28,47,73,23,0,28,0,0,23,0,80
243,4925410.0,20033101.6,363,11,154,198,0,0,95,59,55,154,55,0,59,0,0,55,0,194
244,691509.0,21815822.9,547,0,175,372,70,6,35,70,198,168,66,66,70,0,0,65,0,214
245,3190180.9,12938256.2,326,34,148,144,0,0,88,60,0,178,0,0,60,0,0,56,3,207
246,185832.6,1204530.8,92,0,46,46,24,0,2,20,14,32,14,0,20,0,24,14,0,20
248,2415048.7,8335841.7,208,14,91,103,45,0,1,45,0,117,0,0,45,0,0,40,0,123
249,958831.8,5286571.9,155,0,52,103,0,0,27,25,42,61,21,0,25,0,0,20,0,68
250,250434.5,3901708.3,99,0,46,53,0,0,27,19,15,38,15,0,19,0,0,14,0,51
251,691617.9,7454891.8,186,0,74,112,0,0,41,33,29,83,29,0,33,0,0,28,0,96
252,236203.0,4207697.2,109,0,45,64,24,0,1,20,20,44,20,0,20,0,24,19,0,26
253,1721152.7,10764441.1,177,0,75,102,0,12,38,37,0,90,0,0,37,0,0,32,1,107
255,2089323.1,7731257.1,154,16,53,85,26,0,1,26,21,80,21,0,26,0,0,21,0,86
256,1783951.1,9382120.0,206,0,87,119,0,12,44,43,0,107,0,0,43,0,0,38,0,125
257,1630329.7,6363488.5,167,7,83,77,0,0,46,37,25,59,25,0,37,0,0,25,0,80
258,203124.9,2204050.8,80,0,37,43,18,0,1,18,14,29,14,0,18,0,18,13,0,17
259,804452.9,8366364.8,378,0,122,256,62,0,1,59,116,140,58,0,59,0,62,57,0,84
260,1614590.8,16211022.8,430,0,184,246,0,0,108,76,68,178,68,0,76,0,0,66,0,220
261,213421.6,2460858.2,144,0,57,87,27,0,3,27,45,42,22,0,27,0,0,22,0,50
262,59200.0,296200.0,21,0,11,10,0,0,11,0,0,10,0,0,0,0,0,0,0,21
263,1670937.0,9596944.0,161,9,65,87,0,0,41,24,23,73,23,0,24,0,0,23,0,91
264,496339.5,5908945.1,189,0,92,97,0,0,57,35,30,67,30,0,35,0,0,30,0,94
265,705296.2,4990867.0,298,0,122,176,60,0,2,60,50,126,50,0,60,0,60,50,0,78
266,6031363.8,22492439.8,325,32,114,179,56,2,2,56,0,209,0,0,56,0,0,51,0,218
267,833638.8,8265477.2,422,0,170,252,88,0,2,80,80,172,80,0,80,0,88,78,0,96
268,1764435.2,7141156.4,169,14,65,90,0,0,36,29,24,80,24,0,29,0,0,24,0,92
269,242761.8,4896434.1,177,0,72,105,28,0,16,28,46,59,23,0,28,0,0,23,0,80
270,4733722.4,32651293.6,516,0,192,324,0,14,98,94,84,226,84,0,94,0,0,84,0,254
271,352287.8,6368367.5,142,0,59,83,29,0,1,29,24,59,24,0,29,0,29,24,0,36
272,1102189.1,3304522.4,133,0,53,80,0,0,27,26,21,59,21,0,26,0,0,21,0,65
273,2030120.5,16462443.4,488,12,162,314,65,0,32,65,183,143,61,61,65,0,0,60,0,180
274,2827165.8,13258602.5,372,0,132,240,0,0,68,64,59,181,59,0,64,0,0,59,0,190
275,232502.6,3656386.3,208,0,73,135,36,0,1,36,62,73,0,0,36,0,0,31,0,141
276,725928.6,3269072.4,65,1,27,37,13,1,1,13,9,28,8,0,13,1,0,8,0,35
277,3246659.2,18362674.9,299,17,137,145,0,8,81,56,0,154,0,0,56,0,0,51,0,192
278,1415731.7,10701232.6,183,0,67,116,0,5,34,33,28,83,28,0,33,0,0,28,0,94
279,779506.8,16165217.2,782,0,266,516,136,0,2,128,256,260,0,0,128,0,0,126,0,528
280,1893090.0,15600836.2,481,0,159,322,0,0,88,71,133,189,67,0,71,0,0,66,0,211
281,1305807.6,13483695.6,290,0,140,150,0,2,88,52,44,104,44,0,52,0,0,42,0,152
282,1644198.4,9113034.6,226,0,78,148,0,0,40,38,56,92,28,0,38,0,0,28,0,104
283,288568.4,3380294.7,148,0,61,87,32,0,1,28,27,60,27,0,28,0,32,27,0,34
284,742381.2,3213801.1,91,7,39,45,17,0,5,17,12,40,12,0,17,0,0,12,0,50
285,3650975.2,27161307.4,406,0,182,224,0,0,94,88,0,224,0,0,88,0,0,78,0,240
286,3326122.8,13127817.4,348,0,136,212,0,20,70,66,58,134,58,0,66,0,0,56,0,168
287,560276.4,6714455.0,357,0,121,236,62,0,1,58,116,120,58,0,58,0,62,57,0,64
288,462674.9,6071450.3,253,0,87,166,45,0,1,41,82,84,41,0,41,0,45,40,0,45
289,2140920.0,15605425.6,381,0,117,264,0,0,60,57,105,159,53,0,57,0,0,52,0,167
290,4172353.1,26247208.0,491,33,160,298,0,0,100,60,160,171,56,0,60,48,0,55,0,216
